District_ID,District_name,M0_k1,M0_k2,M0_k3,M0_k4,M0_k5,M0_k6,M0_k7,M0_k8,M0_k9,M1_k1,M1_k2,M1_k3,M1_k4,M1_k5,M1_k6,M1_k7,M1_k8,M1_k9,M2_k1,M2_k2,M2_k3,M2_k4,M2_k5,M2_k6,M2_k7,M2_k8,M2_k9,M0_education_max,M0_education_dropout,M0_health_chronic,M0_health_visit,M0_employment,M0_assets,M0_services,M0_electricity,M0_cooking_fuel,M0_water,M0_toilet,M0_land,M0_livestock,M0_rural_equip,M1_education_max,M1_education_dropout,M1_health_chronic,M1_health_visit,M1_employment,M1_assets,M1_services,M1_electricity,M1_cooking_fuel,M1_water,M1_toilet,M1_land,M1_livestock,M1_rural_equip,M2_education_max,M2_education_dropout,M2_health_chronic,M2_health_visit,M2_employment,M2_assets,M2_services,M2_electricity,M2_cooking_fuel,M2_water,M2_toilet,M2_land,M2_livestock,M2_rural_equip
1,Beitbridge,0.37595136,0.36274545,0.31042952,0.19771781,0.11229954,0.03891951,0.00853102,0,0,0.23798168,0.22762607,0.19164599,0.11830188,0.06730567,0.02213045,0.00498015,0,0,0.19456636,0.18710292,0.15578545,0.09594851,0.05507927,0.01803563,0.00386478,0,0,0.29720265,0.01013387,0.53172021,0.14358184,0.14284776,0.60088352,0.54517801,0.29260831,0.34562144,0.13339479,0.23915538,0,0.22206498,0.06714508,0.14860132,0.00912048,0.26586011,0.07179092,0.10713583,0.47801889,0.39417856,0.09982457,0.17281072,0.12369886,0.11957769,0,0.25006443,0.02014353,0.04953378,0.00547229,0.26586011,0.07179092,0.10713583,0.41658658,0.24662251,0.09982457,0.17281072,0.09157642,0.05978885,0,0.24123428,0.02014353
2,Bikita,0.37816209,0.37279956,0.32219941,0.19316492,0.07532688,0.02444747,0.00903615,0,0,0.27174665,0.26686454,0.22788091,0.13142884,0.04996085,0.01544954,0.00535368,0,0,0.24339859,0.23860803,0.20284989,0.11597982,0.04501011,0.01381339,0.00462836,0,0,0.20746182,0.00751303,0.31575602,0.08750057,0,0.8625753,0.01718715,0.24258492,0.5,0.19467898,0.28165867,0.26800322,0.47811823,0.13249594,0.10646735,0.00450782,0.15787801,0.04375029,0,0.73360851,0.00429679,0.07955226,0.25,0.13643424,0.14082934,0.32106576,0.56495103,0.03974878,0.03822556,0.00180313,0.15787801,0.04375029,0,0.66912512,0.00071613,0.07955226,0.25,0.08199931,0.07041467,0.3205707,0.55999968,0.03974878
3,Bindura,0.43637934,0.42374179,0.37174152,0.30582777,0.21550874,0.14598373,0.06002385,0.03793822,0.02217737,0.25910079,0.25121885,0.22098578,0.18059766,0.12525178,0.08282943,0.03381662,0.0220085,0.01260072,0.21826582,0.21248754,0.18818124,0.15474301,0.10745326,0.07032959,0.02997685,0.01978532,0.0108838,0.2064713,0.04557835,0.62469199,0.45602606,0.02580244,0.6636061,0.60476935,0.24206862,0.39456614,0.1282035,0.10123372,0.08344443,0.31932865,0.249813,0.10323565,0.05275593,0.312346,0.22801303,0.01935183,0.53444544,0.26493221,0.09431525,0.19728307,0.08997389,0.05061686,0.09072224,0.34852219,0.0749439,0.03441189,0.04473546,0.312346,0.22801303,0.01935183,0.46986511,0.10279424,0.09431525,0.19728307,0.04950058,0.02530843,0.08754095,0.33311559,0.0749439
4,Binga,0.49123958,0.48996812,0.47815866,0.40030994,0.24132471,0.08951222,0.03343938,0.00374757,0,0.31444579,0.31383446,0.3056551,0.25539884,0.151956,0.05664398,0.02162914,0.00204653,0,0.26401318,0.26354446,0.25610699,0.2139553,0.12860701,0.04888173,0.01913068,0.00195656,0,0.31411752,0.01006257,0.46342582,0.19997883,0.01442711,0.84508196,0.44266507,0.47046337,0.47065365,0.28762411,0.37542089,0.16835821,0.40282564,0.20167121,0.15872012,0.00771165,0.23171291,0.09998942,0.01082034,0.71905656,0.23903797,0.14699172,0.23532682,0.23403335,0.1893362,0.20202986,0.45196674,0.06050136,0.05401428,0.00408912,0.23171291,0.09998942,0.01082034,0.65604387,0.1154407,0.14699172,0.23532682,0.15754722,0.09629385,0.20202986,0.4373237,0.06050136
5,Bubi,0.46526266,0.46313618,0.42258305,0.34187468,0.24775418,0.110028,0.04937129,0.02690954,0.01295412,0.27059911,0.26991066,0.24545608,0.1997493,0.14538985,0.06265248,0.02889462,0.01598056,0.00809974,0.21110345,0.21063621,0.19324435,0.15919146,0.11626316,0.05060638,0.02402831,0.01326708,0.0066417,0.27999767,0.0167419,0.68657351,0.30402754,0.0297313,0.7088508,0.89461305,0.21337514,0.46332739,0.1441878,0.27560918,0,0.22612581,0.18098284,0.14243572,0.01370445,0.34328675,0.15201377,0.02229847,0.54046335,0.53666256,0.08924891,0.23166369,0.07531559,0.14027406,0,0.23110366,0.05429485,0.04910317,0.00767737,0.34328675,0.15201377,0.02229847,0.45626963,0.26863199,0.08924891,0.23166369,0.04344304,0.0726065,0,0.21701902,0.05429485
6,Buhera,0.42176136,0.41491481,0.38671375,0.28362362,0.13937404,0.063097,0.02025633,0,0,0.24533878,0.24190778,0.22668579,0.16418904,0.0802049,0.03418748,0.01104025,0,0,0.19812558,0.19509612,0.18418451,0.13378666,0.06523617,0.02728007,0.00889742,0,0,0.18067441,0.0032406,0.39477066,0.13443907,0,0.88861713,0.60172,0.36255384,0.48975138,0.2281091,0.27194667,0.0218128,0.25676934,0.17657385,0.0903372,0.00388872,0.19738533,0.06721954,0,0.7586451,0.2388014,0.11101958,0.24487569,0.18266375,0.13597334,0.02617536,0.2228842,0.05297216,0.0301124,0.00311098,0.19738533,0.06721954,0,0.69365908,0.08468149,0.11101958,0.24487569,0.11492297,0.06798667,0.02617536,0.19019473,0.05297216
7,Bulawayo,0.18814661,0.14168631,0.0942161,0.05203619,0.03589461,0.02530522,0.01327883,0.00890281,0.0068492,0.1046257,0.07856738,0.05276358,0.02943265,0.02012338,0.01381808,0.00671211,0.00452411,0.00352261,0.09440929,0.07126549,0.04790079,0.02789588,0.01914329,0.01304113,0.00637049,0.00435725,0.00344939,0.0397995,0.00519234,0.58813396,0.32445276,0.37412372,0.20605714,0.16062376,0.04413252,0.0817476,0.02443373,0.02235008,0,0,0,0.01989975,0.00569996,0.29406698,0.16222638,0.28059279,0.12923605,0.05100199,0.03309939,0.0408738,0.01570915,0.01511764,0,0,0,0.00663325,0.00444684,0.29406698,0.16222638,0.28059279,0.09082551,0.01327451,0.03309939,0.0408738,0.01116774,0.01150141,0,0,0
8,Bulilima,0.47568016,0.47265699,0.442736,0.37394709,0.21519391,0.10973211,0.05371086,0.02618912,0.01536631,0.29177027,0.28976355,0.2720764,0.22852283,0.12841426,0.06497398,0.03193212,0.01618115,0.00920854,0.23628101,0.23458363,0.22066481,0.18489794,0.1060195,0.05497074,0.0272604,0.01421159,0.00820323,0.38579857,0.02547575,0.89033677,0.17692422,0,0.77259078,0.67543131,0.20708079,0.49549113,0.28206731,0.27392408,0.01082396,0.26729686,0.05773436,0.19289929,0.02967962,0.44516838,0.08846211,0,0.59587694,0.35746097,0.06212424,0.24774556,0.28120006,0.13696204,0.01298875,0.3049365,0.01732031,0.06429977,0.02586876,0.44516838,0.08846211,0,0.50752002,0.18869971,0.06212424,0.24774556,0.21849248,0.06848102,0.01298875,0.29850571,0.01732031
9,Centenary,0.45946174,0.45678315,0.43482239,0.35124859,0.18063516,0.07525607,0.03559322,0.00913966,0.00517867,0.27150434,0.26976434,0.25680938,0.20678411,0.10591807,0.04189802,0.01945259,0.00506148,0.00291706,0.21483619,0.21339671,0.20400538,0.16501333,0.08563693,0.03440133,0.01663284,0.00454043,0.00249359,0.26988232,0.0286651,0.25178509,0.24129151,0,0.77311727,0.85315133,0.40857486,0.5,0.28142741,0.13198784,0.06098595,0.33133023,0.23268754,0.13841104,0.03525235,0.12589254,0.12064576,0,0.60137279,0.38335872,0.12257246,0.25,0.27227338,0.06599392,0.06422658,0.32948542,0.06980626,0.0496069,0.03215424,0.12589254,0.12064576,0,0.51550055,0.15453939,0.12257246,0.25,0.20642482,0.03299696,0.06161969,0.2991842,0.06980626
10,Chegutu,0.31312023,0.28671275,0.22265049,0.14881101,0.09464845,0.05510083,0.03105468,0.0155955,0,0.19499547,0.1778254,0.13727626,0.08871113,0.05614521,0.03246779,0.01799238,0.00867137,0,0.1717155,0.1566845,0.12204149,0.07935423,0.05147112,0.03027221,0.01681038,0.0079454,0,0.11497828,0.02616569,0.52462414,0.34090189,0.05144085,0.54484427,0.0454236,0.17742091,0.35388815,0.15502931,0.14327169,0.08219615,0.28613623,0.15785697,0.06043783,0.0248236,0.26231207,0.17045094,0.03858064,0.39238977,0.0140969,0.0695564,0.17694407,0.11587904,0.07267321,0.09769597,0.33120979,0.04735709,0.02309464,0.01731266,0.26231207,0.17045094,0.03858064,0.31616252,0.00326315,0.0695564,0.17694407,0.06186762,0.03737397,0.09713232,0.32464097,0.04735709
