District,M0_k1,M0_k2,M0_k3,M0_k4,M0_k5,M0_k6,M0_k7,M0_k8,M0_k9,M1_k1,M1_k2,M1_k3,M1_k4,M1_k5,M1_k6,M1_k7,M1_k8,M1_k9,M2_k1,M2_k2,M2_k3,M2_k4,M2_k5,M2_k6,M2_k7,M2_k8,M2_k9
Beitbridge Rural,0.428766993,0.428766993,0.384509218,0.267673725,0.142818161,0.056888511,0.012469754,0,0,0.26164622,0.26164622,0.230597648,0.157414267,0.082873295,0.032348001,0.007279462,0,0,0.213390792,0.213390792,0.185764367,0.12682023,0.067081826,0.026362609,0.005649142,0,0
Beitbridge Urban,0.261556594,0.219747667,0.14997837,0.046198462,0.046198462,0,0,0,0,0.186726025,0.15394093,0.107279571,0.033587347,0.033587347,0,0,0,0,0.153794022,0.130165339,0.090853322,0.029082634,0.029082634,0,0,0,0
Bikita,0.378162092,0.372799561,0.322199407,0.193164915,0.075326881,0.024447471,0.009036148,0,0,0.271746649,0.266864539,0.227880907,0.131428844,0.049960852,0.015449539,0.005353682,0,0,0.243398589,0.238608028,0.20284989,0.115979818,0.045010112,0.013813394,0.004628361,0,0
Bindura,0.309367965,0.284391547,0.190564783,0.121750336,0.078502247,0.049751834,0,0,0,0.171466175,0.15844847,0.109260708,0.068276441,0.044154417,0.027985292,0,0,0,0.132974273,0.12713029,0.091510415,0.056707091,0.036244264,0.022080648,0,0,0
Bindura Rural,0.481136784,0.472847319,0.43558627,0.370694686,0.263788365,0.179894814,0.081175612,0.051307239,0.029992434,0.289982291,0.283910141,0.2603565,0.220178449,0.153829616,0.102155923,0.045733238,0.029764066,0.017041079,0.248321653,0.242566526,0.222247005,0.189289821,0.132546546,0.087331996,0.040540369,0.026757458,0.014719136
Binga,0.491239576,0.489968117,0.47815866,0.400309944,0.241324714,0.089512215,0.033439381,0.003747566,0,0.31444579,0.31383446,0.305655103,0.255398839,0.151955997,0.05664398,0.021629142,0.002046527,0,0.264013176,0.263544455,0.256106994,0.213955295,0.128607009,0.048881733,0.019130682,0.001956556,0
Bubi,0.465262659,0.463136184,0.422583046,0.34187468,0.247754178,0.110027995,0.049371287,0.026909543,0.012954124,0.270599108,0.269910662,0.245456083,0.199749304,0.145389855,0.062652475,0.028894615,0.015980556,0.008099744,0.211103452,0.210636207,0.19324435,0.159191462,0.116263165,0.050606377,0.024028312,0.013267083,0.006641701
Buhera,0.421761362,0.414914807,0.386713748,0.283623618,0.139374041,0.063097004,0.020256327,0,0,0.245338775,0.241907779,0.226685789,0.164189036,0.080204901,0.034187482,0.011040255,0,0,0.198125578,0.19509612,0.184184509,0.133786659,0.065236168,0.027280068,0.008897422,0,0
Bulawayo Urban,0.188146608,0.141686315,0.094216101,0.052036186,0.035894611,0.025305218,0.013278826,0.00890281,0.006849204,0.104625698,0.078567385,0.052763579,0.029432652,0.020123381,0.013818078,0.006712114,0.004524106,0.003522608,0.09440929,0.071265489,0.047900794,0.027895881,0.019143291,0.013041129,0.00637049,0.004357254,0.003449386
Bulilima,0.475680163,0.472656993,0.442735999,0.373947088,0.215193908,0.109732112,0.053710862,0.026189124,0.015366311,0.291770271,0.289763549,0.272076402,0.228522826,0.128414264,0.064973983,0.031932125,0.016181149,0.00920854,0.236281014,0.234583632,0.220664808,0.18489794,0.106019496,0.054970736,0.027260397,0.014211589,0.008203234
Chegutu,0.197746553,0.156552218,0.107830284,0.067569416,0.03396018,0.019251213,0.019251213,0,0,0.115828617,0.090164907,0.064294391,0.04063693,0.021952339,0.01283542,0.01283542,0,0,0.097611793,0.07620656,0.057667891,0.036466005,0.020770562,0.01237517,0.01237517,0,0
Chegutu Rural,0.38412063,0.371459517,0.297839519,0.206887104,0.138825384,0.078254136,0.038276214,0.019352405,0,0.243052781,0.233832858,0.1854916,0.123531578,0.082049467,0.045894411,0.02182831,0.0108507,0,0.218611865,0.209391941,0.16635143,0.110836095,0.075134449,0.042845994,0.020465031,0.010083533,0
Chikomba,0.435448859,0.426723393,0.403998585,0.295384774,0.15090799,0.080597206,0.039457897,0.012828153,0,0.261927492,0.25573153,0.242926624,0.1763913,0.088300774,0.045693625,0.022234983,0.007696292,0,0.224064354,0.218139884,0.207346512,0.153389851,0.076407768,0.039390356,0.019595588,0.007427742,0
Chimamimani,0.364283868,0.351762945,0.287782541,0.184748991,0.085028918,0.037760008,0.018288843,0.018288843,0,0.204778203,0.197555056,0.161097652,0.10599411,0.048709385,0.020077063,0.010378737,0.010378737,0,0.16537213,0.159617235,0.129089452,0.087855097,0.041323077,0.016306806,0.008895248,0.008895248,0
Chinhoyi,0.284300451,0.246475726,0.156024807,0.094904009,0.038990765,0,0,0,0,0.185868669,0.152742057,0.100864003,0.063438602,0.024570012,0,0,0,0,0.148054797,0.124265716,0.084475922,0.05195008,0.020371455,0,0,0,0
Chipinge,0.426908599,0.419007494,0.39446164,0.295281861,0.116510436,0.06716866,0.014683882,0,0,0.242824475,0.238764695,0.225987849,0.170194501,0.066707939,0.039061314,0.00873453,0,0,0.194373188,0.19134377,0.181517483,0.136393696,0.053572794,0.031106592,0.00741641,0,0
Chipinge Urban,0.15321436,0.110093674,0.026891181,0,0,0,0,0,0,0.074554577,0.052994234,0.011438993,0,0,0,0,0,0,0.062928035,0.044423592,0.007760232,0,0,0,0,0,0
