Province_ID,Province_name,M0_k1,M0_k2,M0_k3,M0_k4,M0_k5,M0_k6,M0_k7,M0_k8,M0_k9,M1_k1,M1_k2,M1_k3,M1_k4,M1_k5,M1_k6,M1_k7,M1_k8,M1_k9,M2_k1,M2_k2,M2_k3,M2_k4,M2_k5,M2_k6,M2_k7,M2_k8,M2_k9,M0_education_max,M0_education_dropout,M0_health_chronic,M0_health_visit,M0_employment,M0_assets,M0_services,M0_electricity,M0_cooking_fuel,M0_water,M0_toilet,M0_land,M0_livestock,M0_rural_equip,M1_education_max,M1_education_dropout,M1_health_chronic,M1_health_visit,M1_employment,M1_assets,M1_services,M1_electricity,M1_cooking_fuel,M1_water,M1_toilet,M1_land,M1_livestock,M1_rural_equip,M2_education_max,M2_education_dropout,M2_health_chronic,M2_health_visit,M2_employment,M2_assets,M2_services,M2_electricity,M2_cooking_fuel,M2_water,M2_toilet,M2_land,M2_livestock,M2_rural_equip
1,Bulawayo,0.18814661,0.14168631,0.0942161,0.05203619,0.03589461,0.02530522,0.01327883,0.00890281,0.0068492,0.1046257,0.07856738,0.05276358,0.02943265,0.02012338,0.01381808,0.00671211,0.00452411,0.00352261,0.09440929,0.07126549,0.04790079,0.02789588,0.01914329,0.01304113,0.00637049,0.00435725,0.00344939,0.0397995,0.00519234,0.58813396,0.32445276,0.37412372,0.20605714,0.16062376,0.04413252,0.0817476,0.02443373,0.02235008,0,0,0,0.01989975,0.00569996,0.29406698,0.16222638,0.28059279,0.12923605,0.05100199,0.03309939,0.0408738,0.01570915,0.01511764,0,0,0,0.00663325,0.00444684,0.29406698,0.16222638,0.28059279,0.09082551,0.01327451,0.03309939,0.0408738,0.01116774,0.01150141,0,0,0
2,Manicaland,0.38207776,0.366961,0.32548072,0.23304033,0.10778764,0.04199315,0.01190996,0.00472785,0.00157286,0.21718485,0.20905482,0.18699906,0.13346572,0.06159121,0.02340282,0.00667879,0.00258608,0.00084722,0.17440483,0.16781319,0.15084472,0.1082936,0.05011293,0.01911592,0.00565277,0.00217782,0.00075175,0.20634008,0.02242414,0.40888282,0.15263798,0.03572005,0.74673337,0.60421412,0.27647761,0.44619035,0.16023773,0.12004254,0.01741019,0.22597756,0.21590211,0.10460711,0.02333514,0.20444141,0.07631899,0.02679004,0.59797297,0.24582931,0.09339147,0.22309517,0.11792086,0.06030201,0.01918315,0.21083295,0.06477064,0.03621906,0.01856364,0.20444141,0.07631899,0.02679004,0.52359278,0.09110364,0.09339147,0.22309517,0.06978041,0.03043174,0.01875187,0.18509244,0.06477064
3,Mashonaland Central,0.42585955,0.41847334,0.37929847,0.28372507,0.15800413,0.07619889,0.03283483,0.01307812,0.00721005,0.24461385,0.24023632,0.21842116,0.16390029,0.09054234,0.04271852,0.01827273,0.0072309,0.00391637,0.19733952,0.19379901,0.17662954,0.13408842,0.07469696,0.0356451,0.01583255,0.00647159,0.0034448,0.21884604,0.01883055,0.46377041,0.24059226,0.00380602,0.72543163,0.72660178,0.30416145,0.47091306,0.18328794,0.12798477,0.05276076,0.29000262,0.2202173,0.11237567,0.02082133,0.2318852,0.12029613,0.00285451,0.56650991,0.30857072,0.09444853,0.23545653,0.14171278,0.06437528,0.05944615,0.29984406,0.06606519,0.04041121,0.01728317,0.2318852,0.12029613,0.00285451,0.48704905,0.11914635,0.09444853,0.23545653,0.09239609,0.03257053,0.05827642,0.27737823,0.06606519
4,Mashonaland East,0.4086446,0.39833795,0.36023966,0.25425232,0.13614342,0.0582735,0.03244403,0.01695382,0.00639984,0.23740891,0.23071558,0.20725028,0.14506687,0.07631065,0.03242215,0.01757742,0.00889846,0.0033503,0.19822727,0.19275195,0.17304444,0.12176781,0.06496154,0.02800396,0.01549791,0.00807889,0.00311329,0.13365174,0.01150307,0.48140544,0.27156265,0.0436053,0.73878044,0.61358031,0.31897055,0.42478651,0.15356289,0.12983159,0.05758869,0.27206534,0.23464864,0.06682587,0.01266988,0.24070272,0.13578132,0.03270397,0.59480063,0.25124745,0.10805652,0.21239325,0.11249696,0.06538368,0.06605677,0.28786366,0.07039459,0.02227529,0.01105508,0.24070272,0.13578132,0.03270397,0.52281073,0.09503539,0.10805652,0.21239325,0.06572924,0.03315972,0.06515819,0.26958556,0.07039459
5,Mashonaland West,0.37569722,0.35735569,0.31017393,0.22683198,0.129597,0.06438427,0.02887618,0.01018445,0.00491029,0.22243332,0.21072594,0.18283578,0.13249614,0.07509119,0.03720606,0.01655829,0.00556787,0.00258366,0.18109007,0.17172959,0.14938957,0.10834518,0.06264474,0.03200745,0.01455913,0.00496826,0.00230833,0.15822369,0.03075833,0.44444339,0.27966267,0.03626389,0.59541356,0.55915337,0.23870324,0.41252917,0.18762171,0.17515564,0.03699979,0.24943295,0.17594478,0.08267696,0.03196536,0.2222217,0.13983134,0.02719792,0.45587486,0.2783127,0.08199247,0.20626459,0.14013447,0.08784492,0.04365412,0.26981129,0.05278344,0.0311241,0.02565603,0.2222217,0.13983134,0.02719792,0.38610551,0.12559166,0.08199247,0.20626459,0.08413666,0.04418955,0.04325521,0.25591809,0.05278344
6,Matabeleland North,0.45015843,0.44292127,0.41488694,0.31922208,0.18711211,0.09031615,0.03472874,0.01415637,0.00665553,0.26712872,0.26203274,0.24492371,0.18764363,0.10928323,0.05247755,0.02000349,0.00765879,0.00361214,0.21569544,0.21164144,0.19787999,0.15198782,0.08976361,0.04377169,0.01724858,0.00676041,0.00317276,0.26788754,0.0134776,0.62707711,0.23891954,0.03746451,0.74962897,0.72916664,0.26821628,0.44660226,0.17505277,0.30231658,0.05020795,0.23279695,0.13830148,0.13518902,0.01035763,0.31353855,0.11945977,0.02809839,0.60829276,0.38441883,0.08562559,0.22330113,0.13173184,0.15204349,0.05969871,0.24478226,0.04149044,0.04605531,0.00723533,0.31353855,0.11945977,0.02809839,0.53762465,0.19058968,0.08562559,0.22330113,0.09001439,0.07690694,0.05925193,0.23022011,0.04149044
7,Matabeleland South,0.42371848,0.41446039,0.37243755,0.27765223,0.16395053,0.08192864,0.02843304,0.01387799,0.00937382,0.2550119,0.24857153,0.22320827,0.16642228,0.09640234,0.04798162,0.01674798,0.00818125,0.00540072,0.20614532,0.20114324,0.18059433,0.13563114,0.07967527,0.04021575,0.01425564,0.00714899,0.00476039,0.22505173,0.01317284,0.67227302,0.22721235,0.01974659,0.68598549,0.75232101,0.27165661,0.45064884,0.21015339,0.20220157,0.0155278,0.19772437,0.0836198,0.11398705,0.01525322,0.33613651,0.11360617,0.01480994,0.53435034,0.44498938,0.08793183,0.22532442,0.18181808,0.10131069,0.01766743,0.21125822,0.02508594,0.03945687,0.01291928,0.33613651,0.11360617,0.01480994,0.45853277,0.24532281,0.08793183,0.22532442,0.13120113,0.05086525,0.01743723,0.20066655,0.02508594
8,Midlands,0.38832724,0.37360881,0.33049707,0.23804538,0.11760891,0.04648497,0.02025704,0.01012632,0.004611,0.22539622,0.21651614,0.1910172,0.13712734,0.06636807,0.02580904,0.01101061,0.00563788,0.00248162,0.17935606,0.17252884,0.15227786,0.10994746,0.05388614,0.02128468,0.00922711,0.00489633,0.00219593,0.13610988,0.01689653,0.54496777,0.21846691,0.0526252,0.6598594,0.74163161,0.21901703,0.4170469,0.19453831,0.20601163,0.028499,0.17460004,0.08374264,0.06805494,0.01875683,0.27248388,0.10923345,0.0394689,0.50295696,0.35662919,0.07697,0.20852345,0.15397833,0.10402875,0.03417631,0.17384786,0.02512279,0.02268498,0.01669972,0.27248388,0.10923345,0.0394689,0.42450574,0.16194711,0.07697,0.20852345,0.10240725,0.0530373,0.0341549,0.15917853,0.02512279
9,Masvingo,0.39904274,0.38626428,0.34913306,0.25207042,0.13375753,0.05315072,0.01744978,0.00431522,0.00194254,0.24930168,0.24044876,0.21647718,0.15477372,0.08049473,0.03174086,0.01039886,0.00251501,0.00115653,0.20359543,0.19692639,0.17757238,0.12673047,0.06615709,0.02648805,0.0089301,0.00216279,0.00101116,0.20506931,0.01020379,0.41509103,0.13598477,0.01414682,0.73672135,0.64266751,0.24256604,0.44606723,0.21899721,0.23100159,0.0857734,0.26476767,0.14574616,0.10337059,0.01062625,0.20754552,0.06799238,0.01061011,0.61267226,0.3454991,0.07481261,0.22303361,0.16557423,0.11550079,0.10252402,0.28682953,0.04372385,0.03524785,0.00806422,0.20754552,0.06799238,0.01061011,0.55064771,0.17355813,0.07481261,0.22303361,0.10642488,0.0577504,0.10240815,0.27428611,0.04372385
10,Harare,0.29178621,0.2492068,0.18511854,0.13073054,0.08459327,0.03682075,0.02624294,0.01560221,0.0112752,0.17918982,0.15247744,0.11423838,0.08121714,0.05053112,0.02123063,0.01497553,0.00831153,0.0056376,0.15209397,0.13089786,0.10089455,0.07227039,0.04405688,0.01916218,0.01375599,0.00759915,0.00532791,0.02978086,0.0292882,0.76369894,0.30836896,0.47277833,0.34547985,0.40407259,0.15050838,0.05049476,0.20216357,0.01316117,0,0.01014579,0.01588694,0.01489043,0.0325963,0.38184947,0.15418448,0.35458375,0.21999456,0.24582316,0.10544057,0.02524738,0.16030566,0.00658058,0,0.01217495,0.00476608,0.00496348,0.02551826,0.38184947,0.15418448,0.35458375,0.15725191,0.13590091,0.10544057,0.02524738,0.08953117,0.00329029,0,0.01217495,0.00476608
