Province_ID,Province_name,M0_k1,M0_k2,M0_k3,M0_k4,M0_k5,M0_k6,M0_k7,M0_k8,M0_k9,M1_k1,M1_k2,M1_k3,M1_k4,M1_k5,M1_k6,M1_k7,M1_k8,M1_k9,M2_k1,M2_k2,M2_k3,M2_k4,M2_k5,M2_k6,M2_k7,M2_k8,M2_k9,M0_education_max,M0_education_dropout,M0_health_chronic,M0_health_visit,M0_employment,M0_assets,M0_services,M0_electricity,M0_cooking_fuel,M0_water,M0_toilet,M0_land,M0_livestock,M0_rural_equip,M1_education_max,M1_education_dropout,M1_health_chronic,M1_health_visit,M1_employment,M1_assets,M1_services,M1_electricity,M1_cooking_fuel,M1_water,M1_toilet,M1_land,M1_livestock,M1_rural_equip,M2_education_max,M2_education_dropout,M2_health_chronic,M2_health_visit,M2_employment,M2_assets,M2_services,M2_electricity,M2_cooking_fuel,M2_water,M2_toilet,M2_land,M2_livestock,M2_rural_equip
1,Bulawayo,0.18814661,0.14168631,0.0942161,0.05203619,0.03589461,0.02530522,0.01327883,0.00890281,0.0068492,0.1046257,0.07856738,0.05276358,0.02943265,0.02012338,0.01381808,0.00671211,0.00452411,0.00352261,0.09440929,0.07126549,0.04790079,0.02789588,0.01914329,0.01304113,0.00637049,0.00435725,0.00344939,0.0397995,0.00519234,0.58813396,0.32445276,0.37412372,0.20605714,0.16062376,0.04413252,0.0817476,0.02443373,0.02235008,0,0,0,0.01989975,0.00569996,0.29406698,0.16222638,0.28059279,0.12923605,0.05100199,0.03309939,0.0408738,0.01570915,0.01511764,0,0,0,0.00663325,0.00444684,0.29406698,0.16222638,0.28059279,0.09082551,0.01327451,0.03309939,0.0408738,0.01116774,0.01150141,0,0,0
2,Manicaland,0.23308794,0.1831403,0.13324494,0.08918385,0.04033946,0.00721903,0.00367731,0,0,0.13752544,0.10820307,0.08084087,0.05754617,0.02803125,0.0049653,0.0026486,0,0,0.11378586,0.08931302,0.06847955,0.05040635,0.02507924,0.00463107,0.0026486,0,0,0.05043557,0.01346397,0.51102117,0.13481193,0.2698456,0.33886532,0.44786648,0.17540084,0.21330224,0.06813457,0.04967619,0,0,0,0.02633953,0.01328661,0.25551058,0.06740596,0.2023842,0.22281298,0.2561838,0.13155063,0.10665112,0.03335483,0.0248381,0,0,0,0.00952767,0.00997012,0.25551058,0.06740596,0.2023842,0.16478681,0.14077096,0.13155063,0.10665112,0.01381527,0.01241905,0,0,0
3,Mashonaland Central,0.29977534,0.2752225,0.17566325,0.106512,0.06867686,0.04352487,0,0,0,0.1660855,0.15286516,0.10074505,0.05973092,0.03862803,0.02448264,0,0,0,0.12758209,0.12163154,0.08418943,0.0496096,0.03170791,0.01931702,0,0,0,0.03550894,0.03902277,0.65570644,0.31134186,0.08662996,0.33851896,0.95074052,0.16186305,0.16662399,0.05610039,0.04580879,0,0,0,0.01775447,0.04742408,0.32785322,0.15567093,0.06497247,0.22274842,0.46865717,0.12139729,0.08331199,0.04511783,0.0229044,0,0,0,0.00591816,0.04298005,0.32785322,0.15567093,0.06497247,0.16486315,0.2060796,0.12139729,0.08331199,0.02753083,0.0114522,0,0,0
4,Mashonaland East,0.32243234,0.29002392,0.21466733,0.13595563,0.05094284,0.01211229,0.01211229,0,0,0.20059699,0.18045979,0.13322863,0.08260284,0.02923488,0.00708446,0.00708446,0,0,0.15735014,0.14410408,0.1098729,0.06891883,0.02417173,0.00636848,0.00636848,0,0,0.04493191,0.03791499,0.52609616,0.18804236,0.38196556,0.42208033,0.76423301,0.24070151,0.11609728,0.25872264,0.0823215,0,0,0,0.02246595,0.04226783,0.26304808,0.09402118,0.28647417,0.30338919,0.41668117,0.18052613,0.05804864,0.19494086,0.0438082,0,0,0,0.00748865,0.03734165,0.26304808,0.09402118,0.28647417,0.24404362,0.19535833,0.18052613,0.05804864,0.10392434,0.02455154,0,0,0
5,Mashonaland West,0.22161736,0.17386076,0.11130589,0.06061666,0.03209529,0.01502407,0.00886045,0.00436322,0,0.13576618,0.10475985,0.068851,0.03776349,0.01942787,0.00924124,0.00536449,0.00236603,0,0.10889667,0.08563481,0.05816777,0.03237099,0.01669449,0.00812933,0.00496515,0.00207421,0,0.0653279,0.02827444,0.44813436,0.22789165,0.15536962,0.31492594,0.43482643,0.0988414,0.19059934,0.14691745,0.03804947,0,0,0,0.03914179,0.03099837,0.22406718,0.11394582,0.11652722,0.20500875,0.2834795,0.07413105,0.09529967,0.11703155,0.02016909,0,0,0,0.01952511,0.0254124,0.22406718,0.11394582,0.11652722,0.15005015,0.16063794,0.07413105,0.09529967,0.06712913,0.01122889,0,0,0
6,Matabeleland North,0.31036057,0.27231134,0.20049428,0.12709574,0.06047555,0.01963487,0.01312734,0,0,0.20576099,0.17397992,0.12570243,0.07766198,0.03968703,0.01303126,0.00926114,0,0,0.1705137,0.1460309,0.1069735,0.06633913,0.03505106,0.01185662,0.00854065,0,0,0.03684093,0,0.56736089,0.2755063,0.37047269,0.27605745,0.99493627,0.11340503,0.10250772,0.16338369,0.0479545,0,0,0,0.01842046,0,0.28368044,0.13775315,0.27785452,0.19786745,0.79986897,0.08505377,0.05125386,0.07158397,0.03139277,0,0,0,0.00614015,0,0.28368044,0.13775315,0.27785452,0.15877246,0.56075932,0.08505377,0.05125386,0.03550062,0.02311191,0,0,0
7,Matabeleland South,0.26728006,0.2214892,0.15749931,0.08313374,0.04593074,0.02919205,0,0,0,0.19613806,0.15556482,0.11009031,0.05866984,0.03271151,0.0205421,0,0,0,0.16039667,0.12923506,0.09320547,0.05058926,0.02874412,0.01820686,0,0,0,0.02792875,0,0.51289338,0.08120878,0.21098598,0.29386845,0.99249672,0.1527873,0.09352133,0.10673398,0.06673584,0,0,0,0.01396437,0,0.25644669,0.04060439,0.15823949,0.19631049,0.92584345,0.11459048,0.04676067,0.07718366,0.03336792,0,0,0,0.00465479,0,0.25644669,0.04060439,0.15823949,0.1475315,0.68157153,0.11459048,0.04676067,0.05668487,0.01668396,0,0,0
8,Midlands,0.25256432,0.20695712,0.13037958,0.09623237,0.02693609,0.01216064,0,0,0,0.15532018,0.12730751,0.08121907,0.06036285,0.01602621,0.00771839,0,0,0,0.12693152,0.10598703,0.06951561,0.05180233,0.01412361,0.00678663,0,0,0,0.0268605,0.01347738,0.52327136,0.258884,0.21218249,0.31084901,0.6720437,0.10093229,0.19635338,0.05465091,0.04962905,0,0,0,0.01343025,0.0197602,0.26163568,0.129442,0.15913687,0.20166707,0.45516184,0.07569922,0.09817669,0.04522781,0.02816901,0,0,0,0.00447675,0.01939551,0.26163568,0.129442,0.15913687,0.14707609,0.2746054,0.07569922,0.09817669,0.02898915,0.017439,0,0,0
9,Masvingo,0.19830683,0.14182181,0.0727112,0.03441141,0,0,0,0,0,0.14586698,0.09961126,0.05053343,0.02606253,0,0,0,0,0,0.11645327,0.083616,0.04441392,0.02346549,0,0,0,0,0,0.01808122,0,0.32227435,0.13143453,0.14188423,0.19254663,0.88856592,0.04552898,0.12744279,0.02436427,0.0205908,0,0,0,0.00904061,0,0.16113717,0.06571727,0.10641317,0.130767,0.79182648,0.03414673,0.06372139,0.02707042,0.0102954,0,0,0,0.00301354,0,0.16113717,0.06571727,0.10641317,0.09987719,0.5604303,0.03414673,0.06372139,0.02110104,0.0051477,0,0,0
10,Harare,0.28924074,0.24516368,0.1825158,0.13006625,0.08371529,0.0375248,0.02736535,0.01626952,0.01175744,0.17923806,0.15149317,0.11377084,0.08118867,0.05022484,0.02172916,0.01561604,0.00866702,0.00587872,0.15209343,0.13005049,0.10067536,0.072263,0.04379678,0.01957224,0.01434433,0.00792417,0.00555579,0.02548857,0.03054086,0.78606807,0.31086175,0.4929991,0.34233301,0.38932893,0.13970351,0.03433716,0.20728181,0.01372407,0,0,0,0.01274428,0.03399045,0.39303404,0.15543088,0.36974933,0.21507533,0.24833057,0.10477763,0.01716858,0.16242262,0.00686204,0,0,0,0.00424809,0.02660968,0.39303404,0.15543088,0.36974933,0.15144649,0.14037899,0.10477763,0.01716858,0.08884234,0.00343102,0,0,0
