Province,M0_k1,M0_k2,M0_k3,M0_k4,M0_k5,M0_k6,M0_k7,M0_k8,M0_k9,M1_k1,M1_k2,M1_k3,M1_k4,M1_k5,M1_k6,M1_k7,M1_k8,M1_k9,M2_k1,M2_k2,M2_k3,M2_k4,M2_k5,M2_k6,M2_k7,M2_k8,M2_k9
Bulawayo,0.188146608,0.141686315,0.094216101,0.052036186,0.035894611,0.025305218,0.013278826,0.00890281,0.006849204,0.104625698,0.078567385,0.052763579,0.029432652,0.020123381,0.013818078,0.006712114,0.004524106,0.003522608,0.09440929,0.071265489,0.047900794,0.027895881,0.019143291,0.013041129,0.00637049,0.004357254,0.003449386
Manicaland,0.382077759,0.366961004,0.32548072,0.233040329,0.107787638,0.041993151,0.011909959,0.004727855,0.001572857,0.217184846,0.209054817,0.186999064,0.133465717,0.061591215,0.023402816,0.006678791,0.002586082,0.000847218,0.174404825,0.167813186,0.15084472,0.108293603,0.050112926,0.019115917,0.005652772,0.002177821,0.000751749
Mashonaland Central,0.425859549,0.418473337,0.37929847,0.283725066,0.158004125,0.07619889,0.032834827,0.013078122,0.007210046,0.244613846,0.240236321,0.218421155,0.163900288,0.090542338,0.042718525,0.018272725,0.007230901,0.003916366,0.197339519,0.193799009,0.176629538,0.134088417,0.074696958,0.035645095,0.015832548,0.006471594,0.0034448
Mashonaland East,0.408644603,0.398337955,0.360239657,0.254252321,0.136143417,0.058273503,0.032444032,0.016953821,0.006399844,0.237408908,0.230715581,0.20725028,0.145066867,0.076310645,0.032422147,0.017577417,0.008898462,0.003350305,0.198227272,0.192751946,0.173044439,0.121767814,0.064961538,0.028003957,0.015497911,0.008078893,0.003113288
Mashonaland West,0.375697221,0.357355693,0.310173928,0.226831985,0.129597001,0.064384272,0.02887618,0.010184452,0.004910288,0.222433321,0.210725942,0.182835785,0.132496138,0.075091185,0.03720606,0.016558289,0.005567869,0.002583656,0.181090072,0.171729589,0.14938957,0.108345176,0.062644736,0.032007454,0.01455913,0.004968255,0.002308334
Matabeleland North,0.450158428,0.442921272,0.41488694,0.319222078,0.187112107,0.090316152,0.034728744,0.014156368,0.006655533,0.267128719,0.262032745,0.244923714,0.187643627,0.10928323,0.052477546,0.020003492,0.007658793,0.003612141,0.215695436,0.211641436,0.197879988,0.151987822,0.089763607,0.043771686,0.017248576,0.00676041,0.003172758
Matabeleland South,0.423718478,0.414460394,0.372437555,0.277652226,0.163950527,0.081928644,0.02843304,0.013877985,0.009373824,0.2550119,0.248571529,0.223208275,0.166422284,0.096402336,0.047981622,0.016747982,0.008181251,0.005400723,0.206145318,0.201143235,0.180594329,0.135631139,0.07967527,0.040215746,0.014255643,0.007148986,0.004760392
Midlands,0.38832724,0.373608812,0.330497067,0.238045381,0.117608909,0.046484969,0.020257037,0.01012632,0.004611003,0.225396222,0.216516138,0.191017198,0.137127345,0.066368073,0.025809044,0.011010608,0.005637883,0.002481617,0.179356057,0.172528838,0.152277856,0.109947464,0.053886142,0.021284679,0.009227112,0.004896329,0.002195933
Masvingo,0.39904274,0.386264283,0.349133056,0.252070417,0.13375753,0.053150715,0.017449775,0.004315219,0.00194254,0.249301677,0.240448762,0.216477183,0.154773715,0.080494733,0.031740858,0.010398864,0.002515011,0.001156527,0.20359543,0.196926386,0.177572375,0.126730474,0.06615709,0.026488054,0.008930095,0.002162785,0.001011158
Harare,0.291786207,0.249206804,0.185118543,0.130730536,0.084593266,0.036820749,0.026242942,0.01560221,0.0112752,0.179189822,0.152477441,0.114238385,0.081217139,0.050531121,0.021230629,0.014975535,0.008311534,0.0056376,0.152093974,0.13089786,0.100894547,0.072270391,0.044056879,0.019162183,0.01375599,0.007599155,0.005327913
