,2001_All,2001_Rural,2001_Urban,2007_All,2007_Rural,2007_Urban,2011-2012_All,2011-2012_Rural,2011-2012_Urban,2017_All,2017_Rural,2017_Urban,,,,
No one with seven or more years of education ,9.1%,12.2%,1.9%,6.3%,8.0%,1.5%,5.8%,6.7%,3.1%,19.6%,25.3%,4.8%,,,,
Child not in school ,3.7%,4.8%,1.3%,5.0%,6.1%,1.7%,2.5%,2.8%,1.7%,2.1%,2.0%,2.1%,,,,
Chronically ill,9.3%,9.2%,9.6%,13.9%,15.0%,10.8%,16.4%,18.2%,10.8%,37.8%,36.1%,42.2%,,,,
Did not get healthcare,4.5%,4.2%,5.1%,6.7%,7.5%,4.5%,11.2%,11.8%,9.2%,15.7%,14.8%,17.8%,,,,
Unemployed ,– ,– ,27.5%,– ,– ,25.8%,– ,– ,27.6%,– ,– ,26.9%,,,,
No electricity,65.3%,89.5%,10.5%,64.0%,80.8%,15.9%,49.0%,61.3%,10.3%,45.1%,58.1%,11.5%,,,,
No toilets ,31.6%,44.0%,3.5%,32.1%,40.8%,7.4%,31.0%,38.4%,8.1%,29.5%,38.7%,5.9%,,,,
Unprotected water,22.8%,31.2%,3.6%,29.1%,36.4%,8.2%,36.0%,39.9%,23.7%,35.2%,39.1%,25.2%,,,,
Wood as cooking fuel,72.1%,97.2%,15.3%,73.3%,90.6%,24.2%,72.0%,89.3%,17.6%,75.1%,96.2%,20.4%,,,,
Low asset index,60.3%,71.9%,34.0%,60.2%,71.5%,28.1%,56.0%,65.5%,26.2%,63.6%,76.5%,30.1%,,,,
Small land,– ,14.6%,– ,– ,16.0%,– ,– ,14.0%,– ,– ,10.2%,– ,,,,
Low TLU,– ,37.1%,– ,– ,41.2%,– ,– ,45.6%,– ,– ,56.2%,– ,,,,
Low rural equipment ,– ,29.3%,– ,– ,33.4%,– ,– ,31.4%,– ,– ,40.4%,– ,,,,
Far from services,28.5%,36.8%,9.7%,39.2%,49.0%,11.3%,28.9%,35.7%,7.4%,59.9%,65.9%,44.5%,,,,
Observations,19610,12577,7033,12900,10848,2052,28201,24370,3831,10032,8558,1474,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
