,2001,2007,2011-2012,2017,% change 2001 to 2007,% change 2007 to 2011-2012,% change 2011-2012 to 2017,% change 2001 to 2017,
M0,,,,,,,,,
k=1,0.264,0.291,0.277,0.377,10.3,−4.8,36.0,42.6,
k=2,0.241,0.269,0.251,0.359,11.6,−6.8,42.9,48.9,
k=3,0.18,0.217,0.193,0.316,20.8,−11,63.6,75.4,
k=4,0.097,0.131,0.109,0.229,34.9,−16.2,110.0,136.0,
M1,,,,,,,,,
k=1,0.158,0.18,0.167,0.222,13.7,−7.3,32.9,40.5,
k=2,0.145,0.165,0.15,0.211,14.2,−9.3,40.7,45.5,
k=3,0.11,0.134,0.116,0.186,22.4,−14,60.2,68.9,
k=4,0.06,0.081,0.065,0.134,35.1,−20.1,106.6,123.8,
M2,,,,,,,,,
k=1,0.131,0.15,0.138,0.181,15.0,−7.9,31.4,38.5,
k=2,0.119,0.138,0.124,0.173,15.3,−9.9,39.2,45.0,
k=3,0.09,0.111,0.095,0.152,23.5,−14,60.3,69.2,
k=4,0.049,0.067,0.054,0.111,36.4,−19.7,104.9,125.8,
