,2001,2007,2011-2012,2017,Change 2001 to 2007,Change 2007 to 2011-2012,Change 2011-2012 to 2017,Change 2001 to 2017
H,,,,,,,,
k=1,0.861,0.877,0.873,0.959,0.016,−0.004 ,0.086,0.098
k=2,0.685,0.714,0.683,0.835,0.029,−0.031 ,0.152,0.150
k=3,0.434,0.504,0.450,0.663,0.070,−0.053 ,0.213,0.229
k=4,0.195,0.257,0.210,0.420,0.062,−0.047 ,0.210,0.225
A,,,,,,,,
k=1,0.307,0.332,0.318,0.393,0.025,−0.014 ,0.075,0.086
k=2,0.352,0.377,0.367,0.430,0.025,−0.010 ,0.063,0.078
k=3,0.415,0.432,0.429,0.476,0.016,−0.002 ,0.047,0.061
k=4,0.496,0.509,0.521,0.545,0.012,0.012,0.024,0.049
