,M0_2001,M0_2007,M0_2011-2012,M0_2017,M1_2001,M1_2007,M1_2011-2012,M1_2017,M2_2001,M2_2007,M2_2011-2012,M2_2017,
Below seven years of education ,3.6,2.3,2.2,5.0,3.2,2.0,1.6,4.3,2.1,1.2,0.8,1.8,
Child does not go to school ,1.5,1.9,1.0,0.5,2.9,3.5,1.8,1.0,3.1,3.7,1.8,1.0,
Chronic illness,4.3,6.2,8.6,14.0,3.5,5.0,7.2,11.9,4.3,6.1,8.8,14.5,
No health visit,2.9,4.2,7.7,6.9,2.4,3.4,6.4,5.9,3.0,4.2,7.8,7.2,
Unemployed ,2.2,1.5,1.3,2.1,2.7,1.8,1.6,2.6,3.3,2.2,2.0,3.2,
Low assets,22.8,22.0,21.1,18.5,29.5,30.1,28.1,25.1,31.3,33.0,29.7,26.8,
Far from services,12.7,15.2,12.0,15.6,11.2,13.6,10.0,12.2,6.7,8.0,5.3,6.4,
No electricity,12.1,11.6,9.8,7.2,6.8,6.5,5.6,4.3,8.3,7.9,6.7,5.2,
Wood as cooking fuel,12.2,11.9,11.6,9.9,10.0,9.6,9.7,8.4,12.2,11.6,11.8,10.3,
Unprotected water source,5.1,5.7,6.7,4.8,6.4,6.9,8.6,6.2,4.7,5.1,6.6,4.8,
No toilet,7.1,6.7,6.5,4.5,5.9,5.8,5.6,3.9,3.7,3.9,3.6,2.4,
Small land,2.3,1.3,1.2,1.1,4.0,2.3,2.0,2.1,4.7,2.7,2.2,2.6,
Low TLU,6.1,5.2,6.1,5.6,9.1,7.5,9.6,9.9,9.6,7.8,10.3,11.2,
Rural equipment ,5.1,4.3,4.2,4.2,2.5,2.1,2.1,2.1,3.1,2.6,2.6,2.6,
TOTAL,100,100,100,100,100,100,100,100,100,100,100,100,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
